run_dir,seed,lambda,ga_features,sa_features,overlap,jaccard_similarity
results\run_20260614_123407,7,0.0,73,77,45,0.42857142857142855
results\run_20260614_123407,7,0.05,50,68,28,0.3111111111111111
results\run_20260614_123407,7,0.1,36,53,17,0.2361111111111111
results\run_20260614_123407,7,0.2,23,29,11,0.2682926829268293
results\run_20260615_005758,42,0.0,77,75,46,0.4339622641509434
results\run_20260615_005758,42,0.05,56,59,24,0.26373626373626374
results\run_20260615_005758,42,0.1,46,50,19,0.24675324675324675
results\run_20260615_005758,42,0.2,21,19,9,0.2903225806451613
results\run_20260615_080345,2026,0.0,74,86,47,0.415929203539823
results\run_20260615_080345,2026,0.05,46,74,26,0.2765957446808511
results\run_20260615_080345,2026,0.1,33,53,19,0.2835820895522388
results\run_20260615_080345,2026,0.2,23,14,6,0.1935483870967742
